epoch,train_loss,val_mae,test_mae
1,0.8816424173355103,0.689175060749054,
2,0.6834147378921509,0.6079397835731506,
3,0.6559826499938964,0.5989576377868653,
4,0.6496479462623597,0.5845895252227783,
5,0.6341930565834045,0.5794244346618652,
6,0.6193950564384461,0.560957914352417,
7,0.6110763500213623,0.5486212339401245,
8,0.6066309106349945,0.5460969619750976,
9,0.6016868451595306,0.537694149017334,
10,0.58982302069664,0.5620205869674683,
11,0.5783157202720642,0.5328815155029297,
12,0.5730237515926361,0.5751327548027039,
13,0.5617100008010865,0.5507418432235718,
14,0.5704702323436737,0.5092695798873902,
15,0.5487814221382141,0.528253734588623,
16,0.5553807668685913,0.5698779997825623,
17,0.544099142074585,0.5019292936325074,
18,0.5419236697196961,0.5096627178192139,
19,0.5415682522773743,0.5882901968955994,
20,0.5264571333885193,0.5286981663703918,
21,0.5346314298152923,0.5534312629699707,
22,0.5245229232788086,0.4844514102935791,
23,0.513636880159378,0.49439030265808104,
24,0.5173914855957031,0.5023136291503906,
25,0.5098886092185975,0.49320781230926514,
26,0.5009950994491578,0.5309883317947388,
27,0.5071609350681305,0.497023148059845,
28,0.4964061141967773,0.5283859233856201,
29,0.4970140469074249,0.49498878526687623,
30,0.48971918625831606,0.4792648491859436,
31,0.49072698135375975,0.48012231397628785,
32,0.4811258568286896,0.4990517728328705,
33,0.47448928561210635,0.4802404041290283,
34,0.4814389214992523,0.5477260642051697,
35,0.46953489456176756,0.48399761247634887,
36,0.47362253799438475,0.5354828743934631,
37,0.4706082441806793,0.487906409740448,
38,0.4601739996433258,0.48193004274368284,
39,0.4588453613758087,0.516295069694519,
40,0.4594292459011078,0.5117289471626282,
41,0.4560425419330597,0.48261833810806276,
42,0.4575056974411011,0.4646181058883667,
43,0.44745894050598145,0.47371984386444094,
44,0.44470576367378234,0.477026282787323,
45,0.4474599419593811,0.4691403841972351,
46,0.4490282260417938,0.4765741620063782,
47,0.4480813150882721,0.4712122135162354,
48,0.4421871690750122,0.46528038263320926,
49,0.43849956526756284,0.4968643000125885,
50,0.4391725154399872,0.4636938018798828,0.5030345125198364
